部材名,損傷名1,損傷名2,損傷名3,損傷名4
主桁(Mg),,,,
0101,,,,
0102,,,,
0103,,,,
0202,,,,
0302,,,,
0402,,,,
0502,,,,
0602,,,,
0702,,,,
0802,,,,
0902,,,,
0203,,,,
0303,,,,
0403,,,,
0503,,,,
0603,,,,
0703,,,,
0803,,,,
0903,,,,
0201,,,,
0301,,,,
0401,,,,
0501,,,,
0601,,,,
0701,,,,
0801,,,,
0901,,,,
【部材番号図】,,,,
主桁(Mg),,,,
01,,,,
02,,,,
03,,,,
04,,,,
05,,,,
06,,,,
07,,,,
08,,,,
09,,,,
横桁(Cr),,,,
【部材番号図】,,,,
横桁(Cr),,,,
0101,,,,
0201,,,,
0401,,,,
0501,,,,
0601,,,,
0701,,,,
0801,,,,
0301,,,,
0104,,,,
0204,,,,
0304,,,,
0404,,,,
0504,,,,
0604,,,,
0704,,,,
0804,,,,
0102,,,,
0103,,,,
0202,,,,
0203,,,,
0302,,,,
0303,,,,
0402,,,,
0403,,,,
0502,,,,
0503,,,,
0602,,,,
0603,,,,
0702,,,,
0703,,,,
0802,,,,
0803,,,,
02,,,,
03,,,,
01,,,,
04,,,,
床版(Ds),,,,
PC定着部(Cn),,,,
0101,,,,
0102,,,,
0103,,,,
0203,,,,
0303,,,,
0403,,,,
0503,,,,
0603,,,,
0703,,,,
0803,,,,
0802,,,,
0702,,,,
0602,,,,
0502,,,,
0402,,,,
0302,,,,
0202,,,,
0201,,,,
0301,,,,
0401,,,,
0501,,,,
0601,,,,
0701,,,,
0801,,,,
11,,,,
1102,,,,
1103,,,,
1101,,,,
1104,,,,
1202,,,,
1203,,,,
1204,,,,
1201,,,,
12,,,,
【部材番号図】,,,,
PC定着部(Cn),,,,
"Ap,Ac,Ff",0101,,,
"Ap,Ac,Ff",0102,,,
"橋台[胸壁,竪壁](Ap,Ac)、基礎[フーチング](Ff)",,,,
"Ap,Ac,Ff",01,,,
"Ap,Ac,Ff",02,,,
【部材番号図】,,,,
"橋台[胸壁,竪壁](Ap,Ac)、基礎[フーチング](Ff)",,,,
Bh 0101,,,,
"Bh,Bm 0102",,,,
"支承本体(Bh),沓座モルタル(Bm)",,,,
防護柵(Gf)、地覆(Fg),,,,
伸縮装置(Ej),,,,
舗装(Pm),,,,
"Gf,Fg 0101",,,,
"Gf,Fg 0201",,,,
0101,,,,
0102,,,,
0101,,,,
0201,,,,
0101,,,,
0201,,,,
0202,,,,
0102,,,,
"排水ます(Dr),排水管(Dp)",,,,
Bh 0201,,,,
Bh 0301,,,,
Bh 0401,,,,
Bh 0501,,,,
Bh 0601,,,,
Bh 0701,,,,
Bh 0801,,,,
Bh 0901,,,,
"Bh,Bm 0202",,,,
"Bh,Bm 0302",,,,
"Bh,Bm 0402",,,,
"Bh,Bm 0502",,,,
"Bh,Bm 0602",,,,
"Bh,Bm 0702",,,,
"Bh,Bm 0802",,,,
"Bh,Bm 0902",,,,
400×300,,,,
100×300,,,,
150×350,,,,
350×200,,,,
250×150,,,,
100×300,,,,
100×300,,,,
30×100,,,,
150×500,,,,
50×300,,,,
50×50,,,,
250×100,,,,
150×50,,,,
150×100,,,,
200×200,,,,
200×450,,,,
100×100,,,,
100×100,,,,
100×50,,,,
横桁 Cr0803,⑦剥離・鉄筋露出-d,写真番号-15,,
主桁 Mg0901,⑰その他(分類6:異物混入)-e,写真番号-2,,
S404 前-1,,,,
※特記なき損傷,"横桁 Cr0201,0301,0402,0403,0602,0604,0704 ⑦剥離・鉄筋露出-d","床版 Ds0201,0203 ⑦剥離・鉄筋露出-d","排水管 Dp0201,0202 ①腐食(小大)-c,⑤防食機能の劣化(分類1)-e",
横桁 Cr0801,⑦剥離・鉄筋露出-d,写真番号-12,,
S525 前-3,,,,
排水管 Dp0101,①腐食(大大)-e,⑤防食機能の劣化(分類1)-e,写真番号-31,
S422 前-23,,,,
横桁 Cr0802,⑦剥離・鉄筋露出-d,"写真番号-13,14",,
"S396,412 前-4",,,,
S458 前-8,,,,
床版 Ds0803,⑦剥離・鉄筋露出-d,写真番号-17,,
S465 前-12,,,,
横桁 Cr0503,⑦剥離・鉄筋露出-d,⑰その他(分類6:施工不良)-e,"写真番号-10,11",
"S450,452 前-6,7",,,,
100×30,,,,
100×30,,,,
100×50,,,,
100×50,,,,
横桁 Cr0401,⑦剥離・鉄筋露出-e,写真番号-9,,
S523 前-2,,,,
50×30,,,,
100×30,,,,
床版 Ds0101,⑦剥離・鉄筋露出-d,写真番号-16,,
S497 前-11,,,,
100×50,,,,
横桁 Cr0102,⑰その他(分類6:施工不良)-e,"写真番号-4,5",,
"S424,430",,,,
100×100,,,,
横桁 Cr0103,⑦剥離・鉄筋露出-e,写真番号-6,,
S433 前-5,,,,
排水管 Dp0102,①腐食(小大)-c,⑤防食機能の劣化(分類1)-e,写真番号-32,
S486 前-24,,,,
150×150,,,,
100×30,,,,
200×100,,,,
横桁 Cr0304,⑦剥離・鉄筋露出-e,写真番号-8,,
S476 前-10,,,,
横桁 Cr0204,⑦剥離・鉄筋露出-e,写真番号-7,,
